model,qn,dataset,fileName,recall without refinemet,search_time without refinemnt,qps,recall with 2k refinement,search_time with 2k refienement,qps with 2k refienement,construction time,memory
NSG,10000,sift_50k,NSG-sift_50k-12-64,0.913927,0.7334215641021729,13634.723178942284,0.97046,1.3592545986175537,7356.973454546794,60.09888696670532,971860
NSG,10000,sift_50k,NSG-sift_50k-24-32,0.974451,1.0120632648468018,9880.805229615484,0.995434,1.5582225322723389,6417.568603257912,107.35079836845398,967692
NSG,10000,sift_50k,NSG-sift_50k-48-8,0.9845,2.1764590740203857,4594.618901575695,0.997786,3.4286949634552,2916.561580013725,70.64409446716309,963688
NSG,10000,sift_50k,NSG-sift_50k-64-64,0.985899,1.0207257270812988,9796.951065977706,0.998099,1.8093605041503904,5526.814571812284,76.46094989776611,974288
NSG,10000,sift_50k,NSG-sift_50k-64-16,0.985899,1.1839919090270996,8446.003662488809,0.998099,2.0801825523376465,4807.270394976778,76.46094989776611,974288
NSG,10000,sift_50k,NSG-sift_50k-12-16,0.913927,0.879117488861084,11375.04386695255,0.97046,1.7290916442871094,5783.383450518564,60.09888696670532,971860
NSG,10000,sift_50k,NSG-sift_50k-64-32,0.985899,1.0254251956939695,9752.052165279956,0.998099,1.8142666816711424,5511.868845427333,76.46094989776611,974288
NSG,10000,sift_50k,NSG-sift_50k-12-32,0.913927,0.7368357181549072,13571.546212554356,0.97046,1.3329730033874512,7502.027403846326,60.09888696670532,971860
NSG,10000,sift_50k,NSG-sift_50k-64-8,0.985899,2.3134398460388184,4322.567546816692,0.998099,3.9315555095672607,2543.522525795568,76.46094989776611,974288
NSG,10000,sift_50k,NSG-sift_50k-12-8,0.913927,1.429187297821045,6996.983541097877,0.97046,2.2286417484283447,4487.03790416386,60.09888696670532,971860
NSG,10000,sift_50k,NSG-sift_50k-48-32,0.9845,1.0034737586975098,9965.382665292427,0.997786,1.7703077793121338,5648.735274656915,70.64409446716309,963688
NSG,10000,sift_50k,NSG-sift_50k-24-8,0.974451,1.8787198066711424,5322.77349953464,0.995434,3.246032476425171,3080.683903388705,107.35079836845398,967692
NSG,10000,sift_50k,NSG-sift_50k-48-16,0.9845,1.1247215270996094,8891.08971336899,0.997786,1.8284308910369875,5469.170341094237,70.64409446716309,963688
NSG,10000,sift_50k,NSG-sift_50k-24-16,0.974451,0.9769299030303956,10236.148948845172,0.995434,1.7173688411712646,5822.860972125178,107.35079836845398,967692
NSG,10000,sift_50k,NSG-sift_50k-48-64,0.9845,0.984764814376831,10154.708874654603,0.997786,1.765206813812256,5665.058576566078,70.64409446716309,963688
NSG,10000,sift_50k,NSG-sift_50k-24-64,0.974451,0.8732714653015137,11451.192896297498,0.995434,1.5637521743774414,6394.8752007211015,107.35079836845398,967692
HNSW,10000,sift_50k,HNSW-sift_50k-96-96-96,0.99911,20.00050091743469,499.9874773777727,0.99911,20.693474054336548,483.2441364723092,90.94220995903017,814736
HNSW,10000,sift_50k,HNSW-sift_50k-64-32-64,0.96765,4.134804010391235,2418.494316748474,0.96765,3.623070240020752,2760.090016897581,25.08484411239624,814720
HNSW,10000,sift_50k,HNSW-sift_50k-16-16-16,0.624937,1.0768280029296875,9286.53412874977,0.624941,0.4880063533782959,20491.53649491144,3.8331665992736816,782612
HNSW,10000,sift_50k,HNSW-sift_50k-32-16-32,0.789297,1.1596503257751465,8623.289087868525,0.789297,0.9157426357269288,10920.098737197995,6.962332010269165,790204
HNSW,10000,sift_50k,HNSW-sift_50k-48-24-48,0.918049,2.6900899410247803,3717.3478282256,0.918049,2.59245228767395,3857.351607798496,16.793200254440308,800604
HNSW,10000,sift_50k,HNSW-sift_50k-16-8-16,0.4715,0.7590677738189697,13174.05420821475,0.471502,0.5933375358581543,16853.813210278073,3.8986968994140634,783696
HNSW,10000,sift_50k,HNSW-sift_50k-24-12-24,0.663309,1.0592708587646484,9440.456062071116,0.663309,0.721407413482666,13861.79267513208,7.043937683105469,785016
FLATNAV,10000,sift_50k,FLATNAV-sift_50k-48-48-48,0.961314,2.7232065200805664,3672.14161917626,0.99055,3.75299334526062,2664.539763340712,5.606790781021118,789988
FLATNAV,10000,sift_50k,FLATNAV-sift_50k-64-64-64,0.972328,1.5151090621948242,6600.184930260898,0.994247,2.497108221054077,4004.632204437984,6.37035870552063,768908
FLATNAV,10000,sift_50k,FLATNAV-sift_50k-64-64-32,0.972328,1.749347448348999,5716.417290023094,0.994247,2.757861614227295,3625.997747099369,5.88218092918396,765308
