model,dataset,recall,query_latency,construction_time
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.92275,0.0002752280235290527,1900.7082080841064
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.86825,0.000203319787979126,1900.7082080841064
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.98075,0.00043062686920166017,2274.223222017288
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.94725,0.0003362202644348144,2292.5949676036835
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.965,0.0003121340274810791,2274.223222017288
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.94725,0.00029611825942993164,2292.5949676036835
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.86825,0.00019850730895996092,1900.7082080841064
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.9695,0.0003746581077575683,3130.5152139663696
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.966,0.0004146814346313476,2292.5949676036835
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.94725,0.0002966415882110596,2292.5949676036835
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.9695,0.00037894010543823245,3130.5152139663696
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.965,0.0003113090991973877,2274.223222017288
NSG,arxiv-nomic-768-normalized_20_variants_384_dim,0.86825,0.00020569920539855957,1900.7082080841064
HNSW,arxiv-nomic-768-normalized_20_variants_384_dim,0.96275,0.00047289013862609867,1149.9403314590454
HNSW,arxiv-nomic-768-normalized_20_variants_384_dim,0.8075,0.00016123294830322265,404.528507232666
HNSW,arxiv-nomic-768-normalized_20_variants_384_dim,0.772,0.00016219615936279299,227.7987997531891
HNSW,arxiv-nomic-768-normalized_20_variants_384_dim,0.9975,0.0015659165382385255,3086.889088869095
HNSW,arxiv-nomic-768-normalized_20_variants_384_dim,0.899,0.00028522133827209474,603.6289007663727
HNSW,arxiv-nomic-768-normalized_20_variants_384_dim,0.65175,0.00013147115707397462,262.5964298248291
HNSW,arxiv-nomic-768-normalized_20_variants_384_dim,0.9785,0.0005386137962341309,1518.2630038261414
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.90225,0.0001837027072906494,187.6253366470337
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.97325,0.0002864253520965576,637.7891874313354
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.86375,0.00017208218574523925,134.4769561290741
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.90225,0.0002230238914489746,182.1917440891266
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.951,0.00029113054275512693,312.0945498943329
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.94075,0.00019517064094543455,311.6068184375763
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.94975,0.0001783573627471924,328.8283705711365
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.73375,0.00013334751129150392,71.79540657997131
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.98925,0.0005790770053863525,692.5029656887054
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.86375,0.0001597464084625244,130.01593160629272
FLATNAV,arxiv-nomic-768-normalized_20_variants_384_dim,0.97075,0.0005557012557983398,499.1861016750336
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.215,5.9095621109008784e-05,394.0806884765625
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.21575,0.0001015830039978027,359.8087899684906
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.1715,6.627440452575683e-05,359.8087899684906
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.2275,9.194254875183105e-05,349.67608308792114
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.21575,9.739279747009277e-05,428.05141854286194
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.2275,9.065866470336914e-05,349.67608308792114
