model,qn,dataset,fileName,recall without refinemet,search_time without refinemnt,qps,recall with 2k refinement,search_time with 2k refienement,qps with 2k refienement,construction time,memory
HNSW,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,HNSW-agnews-mxbai-1024-euclidean_20_variants_1024_dim-16-16-16,0.69825,0.0728654861450195,2744.78371834304,0.7275,0.0762569904327392,2622.7103753380543,504.8993134498596,6862504
HNSW,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,HNSW-agnews-mxbai-1024-euclidean_20_variants_1024_dim-96-96-96,0.9965,0.3570225238800049,560.1887461509849,0.9965,0.3546748161315918,563.8968173195466,2722.206838607788,7499176
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-24-24-12,0.7425,0.0412032604217529,4853.984804911497,0.84775,0.0630860328674316,3170.2738452468234,174.7773232460022,6826468
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-64-64-64,0.9785,0.1430191993713379,1398.4136457142097,0.9785,0.1432900428771972,1395.7703967707262,636.8753094673157,6954608
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-16-16-8,0.533,0.0187759399414062,10651.9301097115,0.65,0.0276470184326171,7234.053121766126,66.56238007545471,6810540
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-48-48-48,0.96225,0.0899522304534912,2223.40234357399,0.96225,0.0909879207611084,2198.0939703535614,432.3095726966858,6900312
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-96-96-48,0.98175,0.0820794105529785,2436.6646720849576,0.98175,0.0794525146484375,2517.2268100633764,850.9152417182922,7050768
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-96-96-96,0.99225,0.1355175971984863,1475.8230970334375,0.9925,0.1251137256622314,1598.545634712681,867.7317311763763,7050900
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-32-32-32,0.904,0.0570540428161621,3505.448345605135,0.91975,0.0653247833251953,3061.6251569388887,209.74909615516663,6859268
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-24-24-24,0.77775,0.0314390659332275,6361.512152580291,0.84775,0.0419929027557373,4762.709574123805,185.95206952095032,6833896
