model,dataset,recall,query_latency,construction_time
NSG,sift_50k,0.97046,0.00013592545986175538,60.09888696670532
NSG,sift_50k,0.995434,0.00015582225322723387,107.35079836845398
NSG,sift_50k,0.997786,0.00034286949634552006,70.64409446716309
NSG,sift_50k,0.998099,0.00018093605041503906,76.46094989776611
NSG,sift_50k,0.998099,0.00020801825523376462,76.46094989776611
NSG,sift_50k,0.97046,0.00017290916442871094,60.09888696670532
NSG,sift_50k,0.998099,0.00018142666816711427,76.46094989776611
NSG,sift_50k,0.97046,0.0001332973003387451,60.09888696670532
NSG,sift_50k,0.998099,0.00039315555095672606,76.46094989776611
NSG,sift_50k,0.97046,0.00022286417484283446,60.09888696670532
NSG,sift_50k,0.997786,0.0001770307779312134,70.64409446716309
NSG,sift_50k,0.995434,0.0003246032476425171,107.35079836845398
NSG,sift_50k,0.997786,0.00018284308910369873,70.64409446716309
NSG,sift_50k,0.995434,0.00017173688411712646,107.35079836845398
NSG,sift_50k,0.997786,0.00017652068138122558,70.64409446716309
NSG,sift_50k,0.995434,0.00015637521743774415,107.35079836845398
HNSW,sift_50k,0.99911,0.0020693474054336546,90.94220995903017
HNSW,sift_50k,0.96765,0.0003623070240020752,25.08484411239624
HNSW,sift_50k,0.624941,4.8800635337829595e-05,3.8331665992736816
HNSW,sift_50k,0.789297,9.157426357269289e-05,6.962332010269165
HNSW,sift_50k,0.918049,0.000259245228767395,16.793200254440308
HNSW,sift_50k,0.471502,5.933375358581543e-05,3.898696899414064
HNSW,sift_50k,0.663309,7.214074134826661e-05,7.043937683105469
FLATNAV,sift_50k,0.99055,0.000375299334526062,5.606790781021118
FLATNAV,sift_50k,0.994247,0.00024971082210540767,6.37035870552063
FLATNAV,sift_50k,0.994247,0.0002757861614227295,5.88218092918396
FLATNAV,sift_50k,0.996851,0.0002756922721862793,6.250503540039063
FLATNAV,sift_50k,0.979708,0.00028504326343536376,2.565636157989502
FLATNAV,sift_50k,0.99055,0.00039347560405731205,6.36741304397583
FLATNAV,sift_50k,0.964796,0.00026356420516967773,1.821739912033081
FLATNAV,sift_50k,0.979708,0.00023605620861053467,2.24870228767395
FLATNAV,sift_50k,0.996851,0.00045785212516784665,8.299169063568115
FLATNAV,sift_50k,0.964796,0.0002689790010452271,1.9265379905700684
FLATNAV,sift_50k,0.917276,0.00029308533668518066,1.914665460586548
NSG,millionSong_100k,0.964,0.0002092325687408447,213.6866860389709
NSG,millionSong_100k,0.9905,0.00031718492507934573,227.91278624534607
