Dataset,c,k,m,M_NUM,PIVOT,Q_NUM,R_MIN,RATIO,RECALL,AVG_TIME,COST,DATE
audio,1.5,1,15,16,5,100,3,1.00033,0.99,3.75451,0.0461695,834.651,
audio,1.5,10,15,16,5,100,3,1.00067,0.981,3.75451,0.0461695,834.651,
audio,1.5,20,15,16,5,100,3,1.00127,0.9615,3.75451,0.0461695,834.651,
audio,1.5,30,15,16,5,100,3,1.00127,0.642333,3.75451,0.0461695,834.651,
audio,1.5,40,15,16,5,100,3,1.00127,0.64825,3.75451,0.0461695,834.651,
audio,1.5,50,15,16,5,100,3,1.00127,0.6854,3.75451,0.0461695,834.651,
audio,1.5,60,15,16,5,100,3,1.00127,0.643333,3.75451,0.0461695,834.651,
audio,1.5,70,15,16,5,100,3,1.00127,0.576571,3.75451,0.0461695,834.651,
audio,1.5,80,15,16,5,100,3,1.00127,0.629,3.75451,0.0461695,834.651,
audio,1.5,90,15,16,5,100,3,1.00127,0.615444,3.75451,0.0461695,834.651,
audio,1.5,100,15,16,5,100,3,1.00127,0.5722,3.75451,0.0461695,834.651,
audio,1.5,1,15,16,5,100,3,1.00046,0.99,6.94488,0.0490513,834.866,
audio,1.5,10,15,16,5,100,3,1.00076,0.979,6.94488,0.0490513,834.866,
audio,1.5,20,15,16,5,100,3,1.00134,0.9655,6.94488,0.0490513,834.866,
audio,1.5,30,15,16,5,100,3,1.00134,0.973667,6.94488,0.0490513,834.866,
audio,1.5,40,15,16,5,100,3,1.00134,0.97,6.94488,0.0490513,834.866,
audio,1.5,50,15,16,5,100,3,1.00134,0.9428,6.94488,0.0490513,834.866,
audio,1.5,60,15,16,5,100,3,1.00134,0.9575,6.94488,0.0490513,834.866,
audio,1.5,70,15,16,5,100,3,1.00134,0.944286,6.94488,0.0490513,834.866,
audio,1.5,80,15,16,5,100,3,1.00134,0.950125,6.94488,0.0490513,834.866,
audio,1.5,90,15,16,5,100,3,1.00134,0.923667,6.94488,0.0490513,834.866,
audio,1.5,100,15,16,5,100,3,1.00134,0.948,6.94488,0.0490513,834.866,
audio,1.5,1,15,16,5,100,3,1,1,3.57825,0.0471317,834.875,
audio,1.5,10,15,16,5,100,3,1.00145,0.968,3.57825,0.0471317,834.875,
audio,1.5,20,15,16,5,100,3,1.00212,0.957,3.57825,0.0471317,834.875,
audio,1.5,30,15,16,5,100,3,1.00212,0.968,3.57825,0.0471317,834.875,
audio,1.5,40,15,16,5,100,3,1.00212,0.964,3.57825,0.0471317,834.875,
audio,1.5,50,15,16,5,100,3,1.00212,0.9366,3.57825,0.0471317,834.875,
audio,1.5,60,15,16,5,100,3,1.00212,0.951667,3.57825,0.0471317,834.875,
audio,1.5,70,15,16,5,100,3,1.00212,0.939286,3.57825,0.0471317,834.875,
audio,1.5,80,15,16,5,100,3,1.00212,0.9445,3.57825,0.0471317,834.875,
audio,1.5,90,15,16,5,100,3,1.00212,0.917778,3.57825,0.0471317,834.875,
audio,1.5,100,15,16,5,100,3,1.00212,0.9425,3.57825,0.0471317,834.875,
audio,1.5,1,15,16,5,100,3,1.00008,0.99,3.59336,0.0454159,834.889,
audio,1.5,10,15,16,5,100,3,1.00119,0.959,3.59336,0.0454159,834.889,
audio,1.5,20,15,16,5,100,3,1.0025,0.9455,3.59336,0.0454159,834.889,
