model,dataset,construction_time (parallel),construction_time (sequential),search_time,search_timex_refined (parallel),search_timex_refined (sequential),recall,refined_recall,scann_peram,annoy_peram
annoy,deep,83.29723238945007,83.29723238945007,0.05834317207336426,0.11996030807495117,0.11996030807495117,0.3575,0.4765,,25
annoy,deep,148.973069190979,148.973069190979,0.10140824317932129,0.1692056655883789,0.1692056655883789,0.51225,0.638,,50
annoy,deep,169.98253417015076,169.98253417015076,0.1244974136352539,0.20178604125976562,0.20178604125976562,0.664,0.77475,,100
annoy,deep,538.6883473396301,538.6883473396301,0.26427197456359863,0.4147186279296875,0.4147186279296875,0.79125,0.87475,,200
annoy,deep,1101.5299990177155,1101.5299990177155,0.47952961921691895,0.692859411239624,0.692859411239624,0.88775,0.94,,400
annoy,glove,58.00349235534668,58.00349235534668,0.041075706481933594,0.09160375595092773,0.09160375595092773,0.199,0.2795,,25
annoy,glove,113.9492495059967,113.9492495059967,0.07471251487731934,0.14620637893676758,0.14620637893676758,0.304,0.3955,,50
annoy,glove,217.1583104133606,217.1583104133606,0.15333342552185059,0.27129340171813965,0.27129340171813965,0.434,0.5365,,100
annoy,glove,426.5826919078827,426.5826919078827,0.29096293449401855,0.43410515785217285,0.43410515785217285,0.5535,0.64675,,200
annoy,glove,867.4442932605743,867.4442932605743,0.5761933326721191,0.8266811370849609,0.8266811370849609,0.65875,0.739,,400
annoy,sun,6.912717342376709,6.912717342376709,0.06948590278625488,0.11864686012268066,0.11864686012268066,0.47125,0.575,,25
annoy,sun,9.298052310943604,9.298052310943604,0.0695338249206543,0.12851929664611816,0.12851929664611816,0.6005,0.717,,50
annoy,sun,13.41434097290039,13.41434097290039,0.1119542121887207,0.19369840621948242,0.19369840621948242,0.73375,0.82725,,100
annoy,sun,60.88507294654846,60.88507294654846,0.5212295055389404,0.7998368740081787,0.7998368740081787,0.83125,0.8975,,200
annoy,sun,121.599200963974,121.599200963974,0.7352089881896973,1.0769739151000977,1.0769739151000977,0.9065,0.948,,400
annoy,audio,2.143280029296875,2.143280029296875,0.01980876922607422,0.05591726303100586,0.05591726303100586,0.7785,0.87375,,25
annoy,audio,3.177765369415283,3.177765369415283,0.03264498710632324,0.07630276679992676,0.07630276679992676,0.892,0.94775,,50
annoy,audio,4.3625383377075195,4.3625383377075195,0.06479310989379883,0.11952638626098633,0.11952638626098633,0.9525,0.9795,,100
annoy,audio,11.956315755844116,11.956315755844116,0.18140721321105957,0.28287625312805176,0.28287625312805176,0.98425,0.99275,,200
annoy,audio,26.119373321533203,26.119373321533203,0.40373873710632324,0.5796797275543213,0.5796797275543213,0.993,0.998,,400
annoy,millionSong,110.82579827308655,110.82579827308655,0.06763410568237305,0.12750577926635742,0.12750577926635742,0.485,0.602,,25
annoy,millionSong,180.83115363121033,180.83115363121033,0.10081934928894043,0.15572071075439453,0.15572071075439453,0.61175,0.73475,,50
annoy,millionSong,348.90191531181335,348.90191531181335,0.17149019241333008,0.27396631240844727,0.27396631240844727,0.749,0.84775,,100
annoy,millionSong,635.8386189937592,635.8386189937592,0.2445530891418457,0.3227832317352295,0.3227832317352295,0.84625,0.9195,,200
annoy,millionSong,1298.8376021385193,1298.8376021385193,0.4214518070220947,0.5491161346435547,0.5491161346435547,0.926,0.96175,,400
annoy,nuswide,29.671505451202393,29.671505451202393,0.09514188766479492,0.1587681770324707,0.1587681770324707,0.21475,0.2655,,25
annoy,nuswide,60.029157638549805,60.029157638549805,0.15706849098205566,0.27074623107910156,0.27074623107910156,0.27425,0.3405,,50
annoy,nuswide,121.29718041419983,121.29718041419983,0.23475360870361328,0.3932225704193115,0.3932225704193115,0.342,0.413,,100
annoy,nuswide,230.9794704914093,230.9794704914093,0.3978579044342041,0.6318392753601074,0.6318392753601074,0.413,0.489,,200
annoy,nuswide,402.9712378978729,402.9712378978729,0.6560585498809814,0.9411466121673584,0.9411466121673584,0.49025,0.56475,,400
annoy,MNIST,8.473284482955933,8.473284482955933,0.06971192359924316,0.13405394554138184,0.13405394554138184,0.77825,0.86175,,25
annoy,MNIST,10.736975908279419,10.736975908279419,0.10674405097961426,0.18010377883911133,0.18010377883911133,0.88125,0.93825,,50
annoy,MNIST,31.22701406478882,31.22701406478882,0.3146085739135742,0.48883819580078125,0.48883819580078125,0.95125,0.97775,,100
annoy,MNIST,67.09354758262634,67.09354758262634,0.490278959274292,0.6917145252227783,0.6917145252227783,0.9825,0.99375,,200
annoy,MNIST,117.6745958328247,117.6745958328247,0.7678935527801514,1.067793846130371,1.067793846130371,0.99325,0.997,,400
annoy,notre,13.005797147750854,13.005797147750854,0.0356903076171875,0.07467532157897949,0.07467532157897949,0.6475,0.744,,25
annoy,notre,19.22399592399597,19.22399592399597,0.041010379791259766,0.08939313888549805,0.08939313888549805,0.763,0.847,,50
annoy,notre,64.82071113586426,64.82071113586426,0.14580321311950684,0.24339771270751953,0.24339771270751953,0.86225,0.918,,100
annoy,notre,141.17657709121704,141.17657709121704,0.28107523918151855,0.4247100353240967,0.4247100353240967,0.92525,0.96525,,200
annoy,notre,234.79500436782837,234.79500436782837,0.48977231979370117,0.715224027633667,0.715224027633667,0.964,0.98525,,400
annoy,sift,60.60543441772461,60.60543441772461,6.867233753204346,18.898146629333496,18.898146629333496,0.643507,0.772008,,25
annoy,sift,66.75647592544556,66.75647592544556,7.597660064697266,20.0733962059021,20.0733962059021,0.786072,0.881251,,50
annoy,sift,202.02834558486938,202.02834558486938,17.239354610443115,35.54121375083923,35.54121375083923,0.884919,0.943604,,100
annoy,sift,442.3393840789795,442.3393840789795,37.018513917922974,64.24642848968506,64.24642848968506,0.943213,0.974929,,200
annoy,sift,678.8316662311554,678.8316662311554,51.182209968566895,87.44671082496643,87.44671082496643,0.973164,0.989016,,400
annoy,imageNet,151.95080828666687,151.95080828666687,0.03557920455932617,0.07975220680236816,0.07975220680236816,0.3135,0.429,,25
annoy,imageNet,188.38766264915466,188.38766264915466,0.0595250129699707,0.1089322566986084,0.1089322566986084,0.43875,0.577,,50
annoy,imageNet,537.2498960494995,537.2498960494995,0.14340472221374512,0.2249770164489746,0.2249770164489746,0.582,0.7185,,100
annoy,imageNet,1087.761706829071,1087.761706829071,0.27523136138916016,0.40362000465393066,0.40362000465393066,0.73275,0.8395,,200
annoy,imageNet,1501.7665362358093,1501.7665362358093,0.3908059597015381,0.4913139343261719,0.4913139343261719,0.84675,0.9165,,400
annoy,deep_hundred,64.96614599227905,64.96614599227905,0.15391087532043457,0.39458775520324707,0.39458775520324707,0.5478,0.67955,,25
annoy,deep_hundred,146.46807837486267,146.46807837486267,0.3140747547149658,0.6243429183959961,0.6243429183959961,0.7032,0.81595,,50
annoy,deep_hundred,265.341872215271,265.341872215271,0.44678807258605957,0.8307280540466309,0.8307280540466309,0.8267,0.90375,,100
annoy,deep_hundred,518.1134054660797,518.1134054660797,0.7762548923492432,1.2959420680999756,1.2959420680999756,0.90655,0.95335,,200
annoy,deep_hundred,1099.9762959480286,1099.9762959480286,1.2696466445922852,1.9871160984039307,1.9871160984039307,0.9555,0.9789,,400
annoy,glove_hundred,43.466124534606934,43.466124534606934,0.11508607864379883,0.3313586711883545,0.3313586711883545,0.2768,0.36475,,25
annoy,glove_hundred,109.96888184547424,109.96888184547424,0.29451775550842285,0.6085348129272461,0.6085348129272461,0.3871,0.4862,,50
annoy,glove_hundred,206.78002214431763,206.78002214431763,0.4158017635345459,0.789893627166748,0.789893627166748,0.50775,0.60765,,100
annoy,glove_hundred,420.94353342056274,420.94353342056274,0.8187246322631836,1.4794533252716064,1.4794533252716064,0.62075,0.72045,,200
annoy,glove_hundred,861.2952034473419,861.2952034473419,1.6890406608581543,2.793674945831299,2.793674945831299,0.73035,0.8227,,400
annoy,sun_hundred,5.688436031341553,5.688436031341553,0.11066865921020508,0.3291740417480469,0.3291740417480469,0.62095,0.74795,,25
annoy,sun_hundred,12.11908221244812,12.11908221244812,0.3472630977630615,0.7447690963745117,0.7447690963745117,0.7569,0.8576,,50
annoy,sun_hundred,31.38267421722412,31.38267421722412,0.8287343978881836,1.3844282627105713,1.3844282627105713,0.85945,0.92715,,100
annoy,sun_hundred,69.29144048690796,69.29144048690796,1.2196426391601562,1.9563679695129395,1.9563679695129395,0.92035,0.95965,,200
annoy,sun_hundred,113.50357961654663,113.50357961654663,1.554539680480957,2.3101019859313965,2.3101019859313965,0.95355,0.9764,,400
annoy,audio_hundred,1.7589211463928223,1.7589211463928223,0.055359840393066406,0.2361583709716797,0.2361583709716797,0.8864,0.9526,,25
annoy,audio_hundred,2.8796472549438477,2.8796472549438477,0.09539175033569336,0.3091239929199219,0.3091239929199219,0.9505,0.98055,,50
annoy,audio_hundred,5.840949296951294,5.840949296951294,0.29799675941467285,0.6398637294769287,0.6398637294769287,0.9786,0.99335,,100
annoy,audio_hundred,14.042711019515991,14.042711019515991,0.6519949436187744,1.1246333122253418,1.1246333122253418,0.9918,0.9979,,200
annoy,audio_hundred,25.04930329322815,25.04930329322815,0.9377903938293457,1.571197271347046,1.571197271347046,0.99685,0.99955,,400
annoy,millionSong_hundred,88.63149166107178,88.63149166107178,0.15002155303955078,0.38390421867370605,0.38390421867370605,0.62625,0.74815,,25
annoy,millionSong_hundred,215.47879338264465,215.47879338264465,0.3321805000305176,0.6594276428222656,0.6594276428222656,0.76425,0.8604,,50
annoy,millionSong_hundred,376.89096879959106,376.89096879959106,0.5483705997467041,0.9955129623413086,0.9955129623413086,0.86575,0.92985,,100
annoy,millionSong_hundred,626.7173717021942,626.7173717021942,0.676234245300293,1.1713781356811523,1.1713781356811523,0.92665,0.9673,,200
annoy,millionSong_hundred,1305.133267402649,1305.133267402649,1.0955593585968018,1.6190457344055176,1.6190457344055176,0.96045,0.9833,,400
annoy,nuswide_hundred,24.334008932113647,24.334008932113647,0.19946670532226562,0.43540477752685547,0.43540477752685547,0.2989,0.38035,,25
annoy,nuswide_hundred,62.430039405822754,62.430039405822754,0.46074461936950684,0.9054503440856934,0.9054503440856934,0.36945,0.463,,50
annoy,nuswide_hundred,127.28479266166687,127.28479266166687,0.6979303359985352,1.2725708484649658,1.2725708484649658,0.4516,0.54235,,100
annoy,nuswide_hundred,230.1913685798645,230.1913685798645,0.9985344409942627,1.6037039756774902,1.6037039756774902,0.5257,0.6178,,200
annoy,nuswide_hundred,460.27528715133667,460.27528715133667,1.7218711376190186,2.603973627090454,2.603973627090454,0.59735,0.6848,,400
annoy,MNIST_hundred,9.531731605529785,9.531731605529785,0.2503361701965332,0.6288180351257324,0.6288180351257324,0.87105,0.9349,,25
annoy,MNIST_hundred,14.028090238571167,14.028090238571167,0.3984057903289795,0.7402129173278809,0.7402129173278809,0.94365,0.97275,,50
annoy,MNIST_hundred,35.69809150695801,35.69809150695801,0.8086414337158203,1.324894666671753,1.324894666671753,0.9769,0.98975,,100
annoy,MNIST_hundred,74.70386910438538,74.70386910438538,1.011793851852417,1.6149251461029053,1.6149251461029053,0.98905,0.9961,,200
annoy,MNIST_hundred,97.76638841629028,97.76638841629028,1.3919520378112793,2.1273090839385986,2.1273090839385986,0.9943,0.99845,,400
annoy,notre_hundred,15.212780237197876,15.212780237197876,0.10146760940551758,0.32537317276000977,0.32537317276000977,0.74075,0.8341,,25
annoy,notre_hundred,26.87274169921875,26.87274169921875,0.2228391170501709,0.5234861373901367,0.5234861373901367,0.8468,0.91485,,50
annoy,notre_hundred,70.36863923072815,70.36863923072815,0.47861766815185547,0.9168102741241455,0.9168102741241455,0.91915,0.9599,,100
annoy,notre_hundred,137.30452275276184,137.30452275276184,0.7761492729187012,1.3240556716918945,1.3240556716918945,0.9633,0.98345,,200
annoy,notre_hundred,201.29441285133362,201.29441285133362,1.205676555633545,1.9873077869415283,1.9873077869415283,0.9841,0.9941,,400
annoy,sift_twenty,54.67648100852966,54.67648100852966,2.048104763031006,4.659439325332642,4.659439325332642,0.4722,0.60126,,25
